symptom_en,symptom_vi
tongue pain,đau lưỡi
redness in or around nose,đỏ quanh mũi
wrinkles on skin,nếp nhăn da
foot or toe weakness,yếu bàn chân/ngón chân
hand or finger cramps or spasms,chuột rút bàn tay/ngón tay
back stiffness or tightness,cứng lưng
wrist lump or mass,khối u ở cổ tay
skin pain,đau da
low back stiffness or tightness,cứng thắt lưng
low urine output,tiểu ít
skin on head or neck looks infected,da đầu/cổ có dấu hiệu nhiễm trùng
stuttering or stammering,nói lắp
problems with orgasm,khó đạt cực khoái
nose deformity,mũi biến dạng
lump over jaw,khối u ở hàm
sore in nose,lở trong mũi
hip weakness,yếu hông
back swelling,sưng lưng
ankle stiffness or tightness,cứng mắt cá chân
ankle weakness,yếu mắt cá chân
neck weakness,yếu cổ
